env_var,product_name_in_stripe,price_id,amount_usd,product_id
STRIPE_PRICE_LETTER_OF_EXPLANATION,Letter of Explanation,price_1Tqwbn7iKsHkh2EwsEeJqhom,39.00,prod_UqdtATftB2yyhn
STRIPE_PRICE_INCOME_EMPLOYMENT_KIT,Income + Employment Letter Kit,price_1Tqwcf7iKsHkh2Ewin9rtH1I,59.00,prod_Uqdu68V5bIXBpR
STRIPE_PRICE_CREDIT_LETTER_KIT,Credit Letter Kit,price_1Tqwd47iKsHkh2EwQuI0PbVi,59.00,prod_UqduoMVvHQ5NM5
STRIPE_PRICE_RENTAL_APPLICATION_KIT,Rental Application Kit,price_1Tqwdz7iKsHkh2EwHb61ostg,129.00,prod_UqdvQaRllVqNOe
STRIPE_PRICE_LOAN_PREP_KIT,Loan Prep Kit,price_1TqweW7iKsHkh2EwcJiNFjoS,99.00,prod_UqdwrlMeqVtwb3
STRIPE_PRICE_BUSINESS_FUNDING_PREP_KIT,Business Funding Prep Kit,price_1Tqwf27iKsHkh2EwneJc4XR6,149.00,prod_UqdwUvPlGJxZBv
STRIPE_PRICE_LIFE_ADMIN_LETTER_KIT,Life Admin Letter Kit,price_1TqwgJ7iKsHkh2EwKRLRE8AS,79.00,prod_UqdybWG67EH31b
STRIPE_PRICE_COMPLETE_APPROVALPREP_BUNDLE,Complete ApprovalPrep Bundle,price_1Tqwgz7iKsHkh2EwbrGq7vX5,249.00,prod_UqdyAAJiw5G73X
